Designator,Mid X,Mid Y,Rotation,Layer
C1,54.63,-88.11,270.0,top
C10,43.39,-88.31,0.0,bottom
C11,107.03,-129.78,0.0,bottom
C12,135.2775,-78.53,180.0,bottom
C13,109.59,-122.66,0.0,bottom
C14,101.01,-127.97,0.0,bottom
C15,131.2525,-70.7,180.0,bottom
C2,51.37,-88.18,270.0,top
C3,34.72,-108.52,90.0,top
C4,32.0,-108.47,90.0,top
C401,68.25,-86.21,0.0,bottom
C5,124.2,-122.81,270.0,top
C501,105.97,-68.11,270.0,bottom
C502,109.37,-70.81,0.0,bottom
C6,121.65,-122.79,270.0,top
C601,134.38,-122.77,180.0,top
C602,134.37,-125.48,180.0,top
C7,82.57,-77.42,270.0,bottom
C701,144.28,-75.8,180.0,top
C702,142.08,-80.34,180.0,bottom
C703,142.67,-68.23,180.0,bottom
C8,79.76,-77.45,270.0,bottom
C9,43.39,-90.62,0.0,bottom
D101,150.55,-68.0,90.0,top
D401,105.63,-77.3847,90.0,top
D402,102.31,-79.5053,90.0,top
D403,109.47,-77.3799,270.0,top
D605,124.4075,-66.39,0.0,top
D606,95.6325,-66.25,0.0,top
D701,147.95,-68.55,0.0,top
IC1,134.212,-96.535,0.0,bottom
IC2,125.712,-96.535,0.0,bottom
IC3,117.212,-96.535,0.0,bottom
IC4,108.712,-96.535,0.0,bottom
IC5,144.44,-96.47,0.0,bottom
J1,46.9,-83.19,0.0,top
J10,70.66,-88.215,0.0,top
J101,151.41,-75.2,90.0,top
J11,144.23,-127.44,270.0,top
J2,87.7,-115.4,180.0,top
J20,151.015,-122.78,90.0,top
J3,31.33,-97.01,0.0,bottom
J4,47.42,-114.99,90.0,top
J5,55.6,-119.8,90.0,top
J501,105.95,-70.92,180.0,top
J6,36.44908836368358,-120.16817983391627,125.0,top
J7,44.84091136368358,-132.12181983391628,125.0,top
J8,87.25,-121.6,0.0,top
J802,105.85,-144.35,90.0,top
J9,78.55,-121.6,0.0,top
M1,107.04,-132.385,180.0,top
M2,136.95,-75.9,0.0,top
M3,109.75,-125.19,180.0,top
M4,101.25,-125.5,180.0,top
M5,131.12,-68.15,0.0,top
MOD1,133.24,-145.31,0.0,top
MODULE1,150.0,-117.44,90.0,top
R1,135.87,-88.71,180.0,bottom
R10,128.12,-104.1,90.0,bottom
R104,123.69,-113.11,0.0,bottom
R11,121.74,-105.08,0.0,bottom
R12,113.94,-84.39,180.0,bottom
R13,118.41,-104.39,90.0,bottom
R14,118.95,-108.89,270.0,bottom
R15,109.16,-85.12,180.0,bottom
R16,110.28,-104.01,180.0,bottom
R17,102.12,-103.2,0.0,bottom
R18,73.4975,-115.89,0.0,bottom
R2,61.86,-117.2,90.0,bottom
R3,143.29,-88.64,180.0,bottom
R4,143.86,-103.92,180.0,bottom
R401,65.06,-88.77,0.0,bottom
R402,65.6,-86.82,180.0,bottom
R5,139.55,-104.53,270.0,bottom
R605,123.63,-67.82,180.0,top
R606,95.11,-69.62,270.0,top
R7,135.26,-103.72,180.0,bottom
R701,143.38,-73.48,180.0,top
R702,139.39,-68.78,180.0,bottom
R703,139.33,-67.09,180.0,bottom
R8,131.36,-104.15,270.0,bottom
R9,129.62,-89.89,180.0,bottom
S1,132.4625,-148.4,180.0,top
SW1,90.7,-128.2,90.0,top
SW6,39.2,-87.1,0.0,top
U1,58.475,-74.185,180.0,top
U10,65.25,-117.2,90.0,top
U12,67.19,-101.42,0.0,top
U3,77.27,-142.5,0.0,top
U4,84.1181,-78.71,270.0,top
U401,57.5,-86.715,0.0,top
U402,60.88,-86.735,0.0,top
U405,109.25,-67.96,270.0,bottom
U6,73.5,-113.35,180.0,top
U602,124.59,-70.96,180.0,bottom
U701,143.88,-74.7125,270.0,bottom
USB701,141.22,-67.76,180.0,top
